image_name,gridline_id,x1_roi,y1_roi,x2_roi,y2_roi,edge1_x,edge1_y,edge2_x,edge2_y,width_px,width_um
CMd_0.23_2mths_Image1,55,632.0,4114.0,632.0,4614.0,632.0,4337.0,632.0,4380.0,43,170.65625
CMd_0.23_2mths_Image1,56,778.6651611328125,4118.39404296875,685.3348388671875,4609.60595703125,736.1065341796875,4342.38667578125,726.2135200195313,4394.455138671875,53,210.34362108917378
CMd_0.23_2mths_Image1,57,757.0298461914062,4144.505859375,906.9701538085938,4621.494140625,827.20191015625,4367.736375,844.8948664550782,4424.0209921875,59,234.15621080138152
CMd_0.23_2mths_Image1,58,3073.65673828125,3416.903076171875,3190.34326171875,3903.096923828125,3125.232181640625,3631.8007568359376,3139.93468359375,3693.061181640625,63,250.03135113797975
CMd_0.23_2mths_Image1,59,3123.817138671875,3410.619140625,3340.182861328125,3861.380859375,3215.1234736328124,3600.8405859375,3242.8182861328123,3658.5380859375,64,254.0001285397233
CMd_0.23_2mths_Image1,60,3420.196533203125,3268.393310546875,3643.803466796875,3715.606689453125,3510.5337343749998,3449.067515625,3543.627560546875,3515.255095703125,74,293.6874218931792
CMd_0.23_2mths_Image1,61,4065.55078125,2950.99267578125,4198.44921875,3433.00732421875,4111.533640625,3117.769744140625,4141.834484375,3227.669083984375,114,452.4376049639207
CMd_0.23_2mths_Image1,62,4804.6650390625,2750.4990234375,4859.3349609375,3247.5009765625,4829.5945234375,2977.1319140625,4835.82689453125,3033.79013671875,57,226.21863316607653
CMd_0.23_2mths_Image1,63,4839.15234375,2755.880859375,5024.84765625,3220.119140625,4912.316296875,2938.7907421875,4944.255890625,3018.6397265625,86,341.3124528049608
CMd_0.23_2mths_Image1,64,5004.6650390625,2699.4990234375,5059.3349609375,3196.5009765625,5029.70386328125,2927.12591796875,5039.10708984375,3012.61025390625,86,341.3123237242558
CMd_0.23_2mths_Image1,65,5112.0634765625,2687.796142578125,5151.9365234375,3186.203857421875,5130.08609375,2913.0764296875,5136.22654296875,2989.8312177734374,77,305.59381728126345
CMd_0.23_2mths_Image1,66,5204.6650390625,2680.4990234375,5259.3349609375,3177.5009765625,5229.1571640625,2903.1558984375,5235.60821484375,2961.80212890625,59,234.1561290666406
CMd_0.23_2mths_Image1,67,5271.3662109375,2675.46435546875,5392.6337890625,3160.53564453125,5325.45155078125,2891.806150390625,5344.611828125,2968.4474140625,79,313.53123807142646
CMd_0.23_2mths_Image1,68,5353.65576171875,2655.5927734375,5510.34423828125,3130.4072265625,5422.59869140625,2864.5111328125,5448.2956015625,2942.380703125,82,325.4375283676501
CMd_0.23_2mths_Image1,69,5392.84619140625,2652.3076171875,5671.15380859375,3067.6923828125,5514.1883125,2833.415375,5555.934455078125,2895.72308984375,75,297.65603169758805
CMd_0.23_2mths_Image1,70,5855.80615234375,2353.89404296875,6008.19384765625,2830.10595703125,5922.2471875,2561.5224375,5943.886240234375,2629.144529296875,71,281.7811354715235
CMd_0.23_2mths_Image1,71,5908.19921875,2342.8056640625,6155.80078125,2777.1943359375,6021.10553125,2540.8868984375,6053.7889375,2598.226203125,66,261.93752724452025
CMd_0.23_2mths_Image1,72,6178.28466796875,2201.8388671875,6285.71533203125,2690.1611328125,6219.967765625,2391.30790625,6239.30528515625,2479.2059140625,90,357.1874876313416
CMd_0.23_2mths_Image1,73,6390.34326171875,2180.903076171875,6273.65673828125,2667.096923828125,6338.06769921875,2398.717919921875,6322.665078125,2462.8955078125,66,261.93760595407406
CMd_0.23_2mths_Image1,74,6528.80810546875,2217.50439453125,6335.19189453125,2678.49560546875,6445.16590234375,2416.65259765625,6412.251146484375,2495.021103515625,85,337.34384020531337
CMd_0.23_2mths_Image1,75,6509.59033203125,2241.00634765625,6554.40966796875,2738.99365234375,6530.2072265625,2470.0805078125,6536.213017578125,2536.810806640625,67,265.9063183399181
CMd_0.23_2mths_Image1,76,6547.3203125,2245.778076171875,6716.6796875,2716.221923828125,6615.40278125,2434.8965029296874,6641.484125,2507.34485546875,77,305.5937571496759
CMd_0.23_2mths_Image1,77,7704.962890625,2050.6826171875,7959.037109375,2481.3173828125,7808.625171875,2226.3816015625,7855.8829765625,2306.47966796875,93,369.0937573806359
CMd_0.23_2mths_Image1,78,7878.28466796875,1962.8388671875,7985.71533203125,2451.1611328125,7923.190685546875,2166.95757421875,7944.032234375,2261.69209375,97,384.9687366693348
CMd_0.23_2mths_Image1,79,8056.8759765625,1936.24072265625,8007.1240234375,2433.75927734375,8034.9851171875,2155.14888671875,8023.34316015625,2271.568228515625,117,464.3437213017826
CMd_0.23_2mths_Image1,80,8171.49755859375,1948.139892578125,8092.50244140625,2441.860107421875,8135.1598046875,2175.25119140625,8119.67676171875,2272.020353515625,98,388.93740594309725
